parameter,numel,grad_l2,grad_mean_abs,grad_max_abs,backward_delta_max_abs,step_delta_l2,step_delta_max_abs,changed_elements
cls_token,128,0.6007599830627441,0.04292195662856102,0.13388711214065552,0.0,0.0033941101282835007,0.0003000013530254364,128
position_embedding,8320,0.6071405410766602,0.001425845199264586,0.13388711214065552,0.0,0.027362458407878876,0.0003000013530254364,8320
patch_embed.weight,6144,0.9385323524475098,0.008426820859313011,0.07245659083127975,0.0,0.02351493015885353,0.0003000013530254364,6144
patch_embed.bias,128,0.6564098596572876,0.04711252823472023,0.16746428608894348,0.0,0.0033941089641302824,0.0003000000142492354,128
blocks.0.norm1.weight,128,0.013468760997056961,0.0008474213536828756,0.006276222877204418,0.0,0.003394022583961487,0.0003000497817993164,128
blocks.0.norm1.bias,128,0.030211783945560455,0.002205203752964735,0.007275865413248539,0.0,0.0033940488938242197,0.000299999606795609,128
blocks.0.attention.in_proj_weight,49152,0.7695155739784241,0.0014613423263654113,0.058498479425907135,0.0,0.06647410243749619,0.0003000013530254364,49152
blocks.0.attention.in_proj_bias,384,0.14499424397945404,0.0034928179811686277,0.03960254043340683,0.0,0.004799335263669491,0.000299999926937744,384
blocks.0.attention.out_proj.weight,16384,0.8374491333961487,0.004522505681961775,0.03831593319773674,0.0,0.03839902952313423,0.0003000013530254364,16384
blocks.0.attention.out_proj.bias,128,0.680698037147522,0.047552771866321564,0.2207077145576477,0.0,0.003394108498468995,0.0003000000142492354,128
blocks.0.norm2.weight,128,0.0207541324198246,0.0012681798543781042,0.008399784564971924,0.0,0.0033937159460037947,0.0003000497817993164,128
blocks.0.norm2.bias,128,0.01828077994287014,0.0012923841131851077,0.004571517929434776,0.0,0.003393967868760228,0.0002999993448611349,128
blocks.0.mlp.0.weight,65536,1.0714459419250488,0.002954808995127678,0.037911057472229004,0.0,0.0767977237701416,0.0003000013530254364,65536
blocks.0.mlp.0.bias,512,0.09518212825059891,0.003296490292996168,0.015039095655083656,0.0,0.006788148079067469,0.0002999998105224222,512
blocks.0.mlp.3.weight,65536,1.0822467803955078,0.0029458682984113693,0.04585486650466919,0.0,0.07679717987775803,0.0003000013530254364,65536
blocks.0.mlp.3.bias,128,0.4588943123817444,0.03246583789587021,0.1190633699297905,0.0,0.0033941089641302824,0.0003000000142492354,128
blocks.1.norm1.weight,128,0.009299812838435173,0.000579480838496238,0.0030291564762592316,0.0,0.0033938856795430183,0.0003000497817993164,128
blocks.1.norm1.bias,128,0.015602178871631622,0.0010797339491546154,0.003907565027475357,0.0,0.003393803257495165,0.0002999991993419826,128
blocks.1.attention.in_proj_weight,49152,0.5328702926635742,0.00103644875343889,0.03250893950462341,0.0,0.06646206229925156,0.0003000013530254364,49152
blocks.1.attention.in_proj_bias,384,0.08451440185308456,0.0020508000161498785,0.019300149753689766,0.0,0.004799008835107088,0.0002999998687300831,383
blocks.1.attention.out_proj.weight,16384,0.5008233189582825,0.002800493501126766,0.027723975479602814,0.0,0.038398876786231995,0.0003000013530254364,16384
blocks.1.attention.out_proj.bias,128,0.4140097498893738,0.02922453172504902,0.08937060832977295,0.0,0.003394106635823846,0.0003000000142492354,128
blocks.1.norm2.weight,128,0.015016632154583931,0.0009615396847948432,0.004268933087587357,0.0,0.003394091036170721,0.0003000497817993164,128
blocks.1.norm2.bias,128,0.013699380680918694,0.001006869599223137,0.003145421389490366,0.0,0.003393936436623335,0.0002999990538228303,128
blocks.1.mlp.0.weight,65536,0.8036167621612549,0.002212157705798745,0.027016915380954742,0.0,0.07679656893014908,0.0003000013530254364,65536
blocks.1.mlp.0.bias,512,0.06643878668546677,0.0022837233263999224,0.01091657392680645,0.0,0.006788110360503197,0.0002999997523147613,512
blocks.1.mlp.3.weight,65536,0.8089670538902283,0.002242253627628088,0.025874923914670944,0.0,0.07679656893014908,0.0003000013530254364,65536
blocks.1.mlp.3.bias,128,0.32477661967277527,0.022517144680023193,0.09011311829090118,0.0,0.003394106402993202,0.0003000000142492354,128
blocks.2.norm1.weight,128,0.008172723464667797,0.0005118971457704902,0.002834183629602194,0.0,0.0033938749693334103,0.0003000497817993164,128
blocks.2.norm1.bias,128,0.012694710865616798,0.0008783347439020872,0.0028082900680601597,0.0,0.0033939594868570566,0.0002999989374075085,128
blocks.2.attention.in_proj_weight,49152,0.4323664903640747,0.000852224591653794,0.02789616957306862,0.0,0.06645279377698898,0.0003000013530254364,49152
blocks.2.attention.in_proj_bias,384,0.06534120440483093,0.0016028247773647308,0.015372366644442081,0.0,0.004799020476639271,0.0002999998105224222,383
blocks.2.attention.out_proj.weight,16384,0.4101236164569855,0.0022930633276700974,0.025305669754743576,0.0,0.03839855268597603,0.0003000013530254364,16384
blocks.2.attention.out_proj.bias,128,0.3009931445121765,0.02117469534277916,0.07358900457620621,0.0,0.003394108032807708,0.00029999998514540493,128
blocks.2.norm2.weight,128,0.012045924551784992,0.0007903566583991051,0.004087614826858044,0.0,0.0033941224683076143,0.0003000497817993164,128
blocks.2.norm2.bias,128,0.010514180175960064,0.00073618208989501,0.002604228211566806,0.0,0.003393865190446377,0.00029999882099218667,128
blocks.2.mlp.0.weight,65536,0.7025205492973328,0.0019192320760339499,0.04246422275900841,0.0,0.07679597288370132,0.0003000013530254364,65536
blocks.2.mlp.0.bias,512,0.05925281345844269,0.0020078581292182207,0.01646513119339943,0.0,0.006788056809455156,0.00029999983962625265,512
blocks.2.mlp.3.weight,65536,0.7193209528923035,0.0019667998421937227,0.024262189865112305,0.0,0.07679621875286102,0.0003000013530254364,65536
blocks.2.mlp.3.bias,128,0.2803044617176056,0.020426299422979355,0.061938632279634476,0.0,0.003394108032807708,0.0002999999560415745,128
blocks.3.norm1.weight,128,0.006926390808075666,0.0004486249526962638,0.0020331009291112423,0.0,0.0033935443498194218,0.0003000497817993164,128
blocks.3.norm1.bias,128,0.010353341698646545,0.0007569832378067076,0.002141372300684452,0.0,0.0033939869608730078,0.00029999861726537347,128
blocks.3.attention.in_proj_weight,49152,0.4012848436832428,0.0007984385592862964,0.022541824728250504,0.0,0.06643717736005783,0.0003000013530254364,49152
blocks.3.attention.in_proj_bias,384,0.0514412596821785,0.0012398301623761654,0.010801234282553196,0.0,0.0047910017892718315,0.0002999997523147613,383
blocks.3.attention.out_proj.weight,16384,0.3783700168132782,0.0021145623177289963,0.017034320160746574,0.0,0.03839842230081558,0.0003000013530254364,16384
