step,loss,correct,count,accuracy,elapsed_seconds,target_streak
0,2.3185343742370605,3,32,0.09375,0.0,0
10,1.4075251817703247,16,32,0.5,0.3842512331902981,0
20,1.057748794555664,26,32,0.8125,0.6700997841544449,0
30,0.7247962951660156,28,32,0.875,0.9655701108276844,0
40,0.4424397051334381,32,32,1.0,1.2672598590143025,0
50,0.25894472002983093,32,32,1.0,1.5610004388727248,0
60,0.17370858788490295,32,32,1.0,1.852277722209692,0
70,0.1322731226682663,32,32,1.0,2.1476818467490375,0
80,0.10182686895132065,32,32,1.0,2.4363485667854548,0
90,0.08312927931547165,32,32,1.0,2.73026419384405,0
100,0.07003134489059448,32,32,1.0,3.026072137989104,0
110,0.06021901220083237,32,32,1.0,3.3230132018215954,0
120,0.0525924377143383,32,32,1.0,3.616771784145385,0
130,0.046444572508335114,32,32,1.0,3.9098473777994514,1
140,0.04140784963965416,32,32,1.0,4.205639814957976,2
150,0.037204205989837646,32,32,1.0,4.501345146913081,3
