label,class,support,predicted_count,correct,recall,precision
0,airplane,1000,1014,703,0.703,0.6932938856015779
1,automobile,1000,797,634,0.634,0.795483061480552
2,bird,1000,947,529,0.529,0.5586061246040127
3,cat,1000,1183,528,0.528,0.4463229078613694
4,deer,1000,923,564,0.564,0.6110509209100758
5,dog,1000,959,551,0.551,0.5745568300312826
6,frog,1000,1096,773,0.773,0.7052919708029197
7,horse,1000,904,641,0.641,0.709070796460177
8,ship,1000,1124,816,0.816,0.7259786476868327
9,truck,1000,1053,723,0.723,0.6866096866096866
